ID,Trait,TraitDef,TraitValue,TraitUnit,Habitat,Labfield,AmbientTemp,AmbientTempUnit,ResRepUnit,Location,LocationType,Latitude,Longitude,Consumer,ConCommon,ConStage,ConThermy,ConDenUnit,Resource,ResCommon,ResStage,ResThermy,AcclimVarTempDurUnit,Citation,FigureTable,Notes
Shu-sheng and Hughes 1987,Reproductive Rate,Net Reproductive Rate at temperature x,1.6,,Terrestrial,Lab,26,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Shu-sheng and Hughes 1987,Reproductive Rate,Net Reproductive Rate at temperature x,0,,Terrestrial,Lab,28,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Shu-sheng and Hughes 1987,Development,Mean Generation Time at temperature x,15.4,Days,Terrestrial,Lab,17,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Shu-sheng and Hughes 1987,Development,Mean Generation Time at temperature x,12.6,Days,Terrestrial,Lab,22,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Shu-sheng and Hughes 1987,Development,Mean Generation Time at temperature x,11.1,Days,Terrestrial,Lab,24,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Shu-sheng and Hughes 1987,Development,Mean Generation Time at temperature x,15.9,Days,Terrestrial,Lab,26,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Asante et al. 1991,Development,Mean time required to complete life stage at temperature x,29.47,Days,Terrestrial,Lab,10,Celsius,,,Organism,,,Erisoma lanigerum,Wooly Apple Aphid,Instar I,,,,Apple Trees,Twig,,,"Asante, S. K., W. Danthanarayana, and H. Heatwole. 1991. ""Bionomics And Population Growth Statistics Of Apterous Virginoparae Of Woolly Apple Aphid, Eriosoma Lanigerum, At Constant Temperatures"". Entomologia Experimentalis Et Applicata 60 (3): 261-270. doi:10.1111/j.1570-7458.1991.tb01546.x.",Table 1,
Asante et al. 1991,Development,Mean time required to complete life stage at temperature x,16.67,Days,Terrestrial,Lab,13,Celsius,,,Organism,,,Erisoma lanigerum,Wooly Apple Aphid,Instar I,,,,Apple Trees,Twig,,,"Asante, S. K., W. Danthanarayana, and H. Heatwole. 1991. ""Bionomics And Population Growth Statistics Of Apterous Virginoparae Of Woolly Apple Aphid, Eriosoma Lanigerum, At Constant Temperatures"". Entomologia Experimentalis Et Applicata 60 (3): 261-270. doi:10.1111/j.1570-7458.1991.tb01546.x.",Table 1,
Asante et al. 1991,Development,Mean time required to complete life stage at temperature x,12.09,Days,Terrestrial,Lab,15,Celsius,,,Organism,,,Erisoma lanigerum,Wooly Apple Aphid,Instar I,,,,Apple Trees,Twig,,,"Asante, S. K., W. Danthanarayana, and H. Heatwole. 1991. ""Bionomics And Population Growth Statistics Of Apterous Virginoparae Of Woolly Apple Aphid, Eriosoma Lanigerum, At Constant Temperatures"". Entomologia Experimentalis Et Applicata 60 (3): 261-270. doi:10.1111/j.1570-7458.1991.tb01546.x.",Table 1,
Asante et al. 1991,Development,Mean time required to complete life stage at temperature x,7.65,Days,Terrestrial,Lab,20,Celsius,,,Organism,,,Erisoma lanigerum,Wooly Apple Aphid,Instar I,,,,Apple Trees,Twig,,,"Asante, S. K., W. Danthanarayana, and H. Heatwole. 1991. ""Bionomics And Population Growth Statistics Of Apterous Virginoparae Of Woolly Apple Aphid, Eriosoma Lanigerum, At Constant Temperatures"". Entomologia Experimentalis Et Applicata 60 (3): 261-270. doi:10.1111/j.1570-7458.1991.tb01546.x.",Table 1,
Asante et al. 1991,Development,Mean time required to complete life stage at temperature x,6.24,Days,Terrestrial,Lab,25,Celsius,,,Organism,,,Erisoma lanigerum,Wooly Apple Aphid,Instar I,,,,Apple Trees,Twig,,,"Asante, S. K., W. Danthanarayana, and H. Heatwole. 1991. ""Bionomics And Population Growth Statistics Of Apterous Virginoparae Of Woolly Apple Aphid, Eriosoma Lanigerum, At Constant Temperatures"". Entomologia Experimentalis Et Applicata 60 (3): 261-270. doi:10.1111/j.1570-7458.1991.tb01546.x.",Table 1,
Asante et al. 1991,Development,Mean time required to complete life stage at temperature x,5.19,Days,Terrestrial,Lab,30,Celsius,,,Organism,,,Erisoma lanigerum,Wooly Apple Aphid,Instar I,,,,Apple Trees,Twig,,,"Asante, S. K., W. Danthanarayana, and H. Heatwole. 1991. ""Bionomics And Population Growth Statistics Of Apterous Virginoparae Of Woolly Apple Aphid, Eriosoma Lanigerum, At Constant Temperatures"". Entomologia Experimentalis Et Applicata 60 (3): 261-270. doi:10.1111/j.1570-7458.1991.tb01546.x.",Table 1,
Asante et al. 1991,Development,Mean time required to complete life stage at temperature x,5.76,Days,Terrestrial,Lab,32,Celsius,,,Organism,,,Erisoma lanigerum,Wooly Apple Aphid,Instar I,,,,Apple Trees,Twig,,,"Asante, S. K., W. Danthanarayana, and H. Heatwole. 1991. ""Bionomics And Population Growth Statistics Of Apterous Virginoparae Of Woolly Apple Aphid, Eriosoma Lanigerum, At Constant Temperatures"". Entomologia Experimentalis Et Applicata 60 (3): 261-270. doi:10.1111/j.1570-7458.1991.tb01546.x.",Table 1,
Asante et al. 1991,Development,Mean time required to complete life stage at temperature x,11.47,Days,Terrestrial,Lab,10,Celsius,,,Organism,,,Erisoma lanigerum,Wooly Apple Aphid,Instar II,,,,Apple Trees,Twig,,,"Asante, S. K., W. Danthanarayana, and H. Heatwole. 1991. ""Bionomics And Population Growth Statistics Of Apterous Virginoparae Of Woolly Apple Aphid, Eriosoma Lanigerum, At Constant Temperatures"". Entomologia Experimentalis Et Applicata 60 (3): 261-270. doi:10.1111/j.1570-7458.1991.tb01546.x.",Table 1,
